"Variable","IRR","Lower_CI","Upper_CI","P_value"
"(Intercept)",1.70923388916021,1.24868426786259,2.33964706935447,0.000818397897632721
"import_from_slu_log",1.00078715058818,0.999957172496045,1.00161781757345,0.0630522735342359
"age",1.00715573582229,1.00688436555716,1.00742717922572,0
"distance_miles_log",1.1010748738815,1.05868485625469,1.1451621988645,1.53169203757035e-06
"state_unemployment",0.968060796893652,0.962627393584962,0.973524868217518,1.25870735847596e-29
"immigrant_density",0.998885716140218,0.998611491273315,0.999160016310958,1.73825283656242e-15
"sex_enc1",1.00937781215013,1.00235052751029,1.01645436371611,0.00882757906309391
"marital_status_enc1",1.02114893738597,0.997196709027696,1.04567648778264,0.0839542383240492
"marital_status_enc2",1.03191295565066,1.02311471456368,1.04078685692034,6.4446640462535e-13
"employment_status_enc1",1.12550294622221,1.08151617480464,1.17127872098973,6.14616243191148e-09
"employment_status_enc2",0.947895739731605,0.896598989637782,1.00212730974002,0.0594114277890579
"purpose_simple2",1.49247743168836,1.42593512618511,1.5621249825428,2.30662311089294e-66
"purpose_simple3",1.108200632775,0.648427186275922,1.8939808022798,0.707123391778375
"purpose_simple4",1.45854119416803,1.37677184139798,1.54516699943905,1.23262582040983e-37
"purpose_simple5",1.31398543386562,1.25673323146757,1.37384583870263,3.0050306923803e-33
"accomd_type_enc1",1.17662259218745,1.15557277443955,1.19805585166835,8.59035293716947e-70
"accomd_type_enc2",1.36916403316441,1.35552617653881,1.38293909933754,0
"season_enc1",1.11653505907303,1.10504571814083,1.12814385656064,6.9336222853451e-97
"season_enc2",1.0873649943486,1.07620392613345,1.0986418114852,5.27682984493788e-57
"season_enc3",1.17722216387002,1.16485625120658,1.18971935092534,1.89690659059245e-201
"tourist_type_enc1",1.5222555285957,1.46323644823461,1.58365512090404,2.42699800963871e-96
"tourist_type_enc2",1.02627964866947,1.00663721972781,1.04630535870503,0.00851482095784337
"region_climate2",0.930589428271991,0.892922989909056,0.969844761304435,0.000643722820647692
"region_climate3",0.950022550505763,0.93845659828454,0.961731046613436,2.33053824663622e-16
"region_climate4",0.945551536579286,0.932570204443037,0.95871356823095,2.05502174228575e-15
