"Variable","IRR","Lower_CI","Upper_CI","P_value"
"(Intercept)",4.64288806383492,4.30397924775707,5.00848362234424,0
"import_from_slu_log",0.998821518475736,0.998049379877622,0.999594254437094,0.00280310560800859
"age",1.00549456853886,1.00525132442846,1.00573787150787,0
"state_unemployment",0.973144574229204,0.967765841764119,0.9785532010775,6.16382808193185e-22
"immigrant_density",0.999077521737033,0.998828659807334,0.999326445671621,3.84106211865501e-13
"sex_enc1",1.01070515187476,1.00371171015686,1.01774732095786,0.00264876041499719
"marital_status_enc1",1.00731639958007,0.983719125023304,1.03147972124555,0.546675764717226
"marital_status_enc2",1.0036897224835,0.995363411685452,1.01208568367324,0.386193676438057
"employment_status_enc1",0.952739804697797,0.901236470579041,1.00718642119797,0.0877376427104045
"employment_status_enc2",1.10224338764596,1.05933831079976,1.14688619605574,1.54207961686609e-06
"purpose_simple1",1.21043936027279,1.16424227897343,1.25846953968165,6.60770459620637e-22
"purpose_simple2",1.56450017691265,1.51691395615416,1.61357919717826,2.02386383970503e-177
"purpose_simple3",1.14424610946785,1.11406864080437,1.17524101395314,5.01356908921278e-23
"purpose_simple4",1.00309095241429,0.972298110078283,1.03485900917199,0.84617097741196
"accomd_type_enc1",1.14646127347151,1.12599827207414,1.16729615326033,4.81614788872231e-50
"accomd_type_enc2",1.26056763168591,1.24757591495805,1.27369463854041,0
"season_enc1",1.11345348036801,1.10210898485912,1.12491474978957,5.30158881814992e-94
"season_enc2",1.06260823346016,1.05175987079279,1.0735684914145,4.17409304928388e-31
"season_enc3",1.16584380975792,1.15372298985342,1.17809196896001,4.12593803335454e-182
