"Variable","IRR","Lower_CI","Upper_CI","P_value"
"(Intercept)",0.0990752737768381,0.00120126958805901,8.17127976228534,0.304459171247706
"import_from_slu_log",0.998654873959318,0.991512577128657,1.00584861986404,0.71319949797561
"age",1.00581243744656,1.00557081380389,1.00605411914778,0
"immigrant_density",0.989987553886602,0.946555467393403,1.03541249362732,0.660200804112578
"state_percapita_income_log",1.41792854792186,0.947715874121251,2.12143894801382,0.0893644517754199
"immigrant_similar",1.0024660052845,0.957853268886282,1.04915661343364,0.915548992870635
"immigrant_moderate",1.00683087117824,0.963341159429428,1.05228391129674,0.762512505242435
"sex_enc1",1.01048205733428,1.00349204268351,1.01752076226135,0.00323697930865964
"marital_status_enc1",1.00399569024119,0.980480609074111,1.02807473874957,0.74156248821616
"marital_status_enc2",1.00400938779067,0.995672470321649,1.01241611154133,0.346928894471437
"employment_status_enc1",0.954343996131701,0.902796714486434,1.00883448991142,0.0990396920360271
"employment_status_enc2",1.11412332418272,1.07076972539392,1.15923223457902,9.46677150757871e-08
"purpose_simple1",1.21010848621727,1.16411994298573,1.257913806252,5.03325605782888e-22
"purpose_simple2",1.56563139800746,1.51800795581334,1.61474889840973,5.76036926951677e-178
"purpose_simple3",1.15632646505272,1.12580840400155,1.18767180012938,1.86447182373117e-26
"purpose_simple4",1.00794394575604,0.976983161977105,1.03988588271091,0.619121237414026
"accomd_type_enc1",1.13949410856081,1.11913438094262,1.16022422825679,9.64311327159102e-46
"accomd_type_enc2",1.26608625271869,1.25303349303491,1.27927498206036,0
