"Variable","IRR","Lower_CI","Upper_CI","P_value"
"(Intercept)",0.0771399439507408,0.00147830562330815,4.025264369493,0.204149268670811
"import_from_slu_log",0.997818368391539,0.991119427804247,1.00456258687747,0.525121889265365
"age",1.00581261539993,1.00557099391949,1.00605429493787,0
"immigrant_density",0.996525008569165,0.992770468175395,1.00029374819027,0.0706848826318622
"state_percapita_income_log",1.45061858445523,1.01110320919769,2.08118642926338,0.0433875609385963
"sex_enc1",1.01048179889813,1.00349180068955,1.01752048716568,0.00323766994246844
"marital_status_enc1",1.00398882908597,0.980473953563421,1.028067665914,0.741989113314875
"marital_status_enc2",1.00401607313726,0.99567915323871,1.0124227988896,0.346123979958551
"employment_status_enc1",0.954340054209484,0.902793058347404,1.0088302414905,0.0990093611833917
"employment_status_enc2",1.11411240384546,1.07075935425173,1.15922073757621,9.49124879749486e-08
"purpose_simple1",1.21009153960993,1.16410373221323,1.25789609097079,5.06716834390371e-22
"purpose_simple2",1.56565245355821,1.51802850007406,1.61477047711112,5.60953503414949e-178
"purpose_simple3",1.15633203386877,1.12581402198928,1.18767731297968,1.85603859602108e-26
"purpose_simple4",1.00794058203194,0.976980118399484,1.03988218160594,0.619266591773397
"accomd_type_enc1",1.13949887694652,1.11913918806756,1.16022895490278,9.56881765921543e-46
"accomd_type_enc2",1.26608302577005,1.25303037970887,1.27927163945975,0
